,value
0,-6.095
1,-6.095
2,-6.1
3,-6.1
4,-6.095
5,-6.095
6,-6.1
7,-6.105
8,-6.105
9,-6.115
10,-6.105
11,-6.1
12,-6.095
13,-6.09
14,-6.08
15,-6.075
16,-6.065
17,-6.06
18,-6.035
19,-6.015
20,-6.0
21,-5.975
22,-5.955
23,-5.92
24,-5.89
25,-5.865
26,-5.83
27,-5.805
28,-5.775
29,-5.75
30,-5.725
31,-5.705
32,-5.695
33,-5.68
34,-5.67
35,-5.655
36,-5.64
37,-5.635
38,-5.635
39,-5.64
40,-5.64
41,-5.64
42,-5.65
43,-5.66
44,-5.68
45,-5.7
46,-5.71
47,-5.71
48,-5.715
49,-5.72
50,-5.73
51,-5.735
52,-5.74
53,-5.77
54,-5.78
55,-5.775
56,-5.78
57,-5.79
58,-5.785
59,-5.79
60,-5.8
61,-5.81
62,-5.815
63,-5.8
64,-5.805
65,-5.815
66,-5.82
67,-5.82
68,-5.82
69,-5.825
70,-5.82
71,-5.83
72,-5.83
73,-5.82
74,-5.81
75,-5.815
76,-5.82
77,-5.82
78,-5.815
79,-5.815
80,-5.8
81,-5.79
82,-5.78
83,-5.77
84,-5.76
85,-5.755
86,-5.76
87,-5.765
88,-5.76
89,-5.76
90,-5.75
91,-5.74
92,-5.72
93,-5.7
94,-5.69
95,-5.695
96,-5.7
97,-5.695
98,-5.7
99,-5.71
100,-5.71
101,-5.72
102,-5.735
103,-5.755
104,-5.775
105,-5.79
106,-5.8
107,-5.825
108,-5.84
109,-5.845
110,-5.85
111,-5.86
112,-5.875
113,-5.865
114,-5.86
115,-5.855
116,-5.84
117,-5.84
118,-5.84
119,-5.84
120,-5.835
121,-5.855
122,-5.855
123,-5.815
124,-5.695
125,-5.555
126,-5.345
127,-5.015
128,-4.62
129,-4.265
130,-4.055
131,-3.985
132,-4.0
133,-4.175
134,-4.455
135,-4.87
136,-5.32
137,-5.775
138,-6.1
139,-6.245
140,-6.245
141,-6.245
142,-6.245
143,-6.245
144,-6.21
145,-6.155
