DT,Usage
10401,0.0
10402,0.0
10403,0.0
10404,0.0
10405,0.0
10406,0.0
10407,0.0
10408,0.0
10409,0.0
10410,0.0
10411,0.0
10412,0.0
10413,0.0
10414,0.0
10415,0.0
10416,0.01
10417,0.01
10418,0.01
10419,0.02
10420,0.08
10421,0.14
10422,0.16
10423,0.1
10424,0.1
10425,0.11
10426,0.03
10427,0.06
10428,0.06
10429,0.06
10430,0.04
10431,0.06
10432,0.03
10433,0.01
10434,0.0
10435,0.0
10436,0.0
10437,0.0
10438,0.0
10439,0.0
10440,0.0
10441,0.0
10442,0.0
10443,0.0
10444,0.0
10445,0.0
10446,0.0
10447,0.0
10448,0.0
10501,0.0
10502,0.0
10503,0.0
10504,0.0
10505,0.0
10506,0.0
10507,0.0
10508,0.0
10509,0.0
10510,0.01
10511,0.0
10512,0.0
10513,0.0
10514,0.0
10515,0.0
10516,0.01
10517,0.05
10518,0.11
10519,0.07
10520,0.09
10521,0.1
10522,0.15
10523,0.35
10524,0.25
10525,0.49
10526,0.3
10527,0.16
10528,0.1
10529,0.07
10530,0.05
10531,0.01
10532,0.04
10533,0.01
10534,0.01
10535,0.0
10536,0.0
10537,0.0
10538,0.0
10539,0.0
10540,0.0
10541,0.0
10542,0.0
10543,0.0
10544,0.0
10545,0.0
10546,0.0
10547,0.0
10548,0.0
10601,0.0
10602,0.0
10603,0.0
10604,0.0
10605,0.0
10606,0.0
10607,0.0
10608,0.0
10609,0.0
10610,0.0
10611,0.0
10612,0.0
10613,0.0
10614,0.0
10615,0.01
10616,0.01
10617,0.01
10618,0.03
10619,0.15
10620,0.18
10621,0.08
10622,0.14
10623,0.06
10624,0.16
10625,0.12
10626,0.11
10627,0.07
10628,0.06
10629,0.03
10630,0.05
10631,0.06
10632,0.04
10633,0.02
10634,0.0
10635,0.0
10636,0.0
10637,0.0
10638,0.0
10639,0.0
10640,0.0
10641,0.0
10642,0.0
10643,0.0
10644,0.0
10645,0.0
10646,0.0
10647,0.0
