DT,Usage
46801,0.0
46802,0.0
46803,0.0
46804,0.0
46805,0.0
46806,0.0
46807,0.0
46808,0.0
46809,0.0
46810,0.0
46811,0.0
46812,0.0
46813,0.0
46814,0.0
46815,1.5
46816,1.5
46817,1.5
46818,1.5
46819,1.5
46820,1.5
46821,1.5
46822,1.5
46823,1.5
46824,1.5
46825,1.5
46826,1.5
46827,1.5
46828,1.5
46829,1.5
46830,1.5
46831,1.5
46832,1.5
46833,1.5
46834,1.5
46835,1.5
46836,1.5
46837,1.5
46838,1.5
46839,1.5
46840,1.5
46841,1.5
46842,1.5
46843,1.5
46844,0.0
46845,0.0
46846,0.0
46847,0.0
46848,0.0
46901,0.0
46902,0.0
46903,0.0
46904,0.0
46905,0.0
46906,0.0
46907,0.0
46908,0.0
46909,0.0
46910,0.0
46911,0.0
46912,0.0
46913,0.0
46914,0.0
46915,1.5
46916,1.5
46917,1.5
46918,1.5
46919,1.5
46920,1.5
46921,1.5
46922,1.5
46923,1.5
46924,1.5
46925,1.5
46926,1.5
46927,1.5
46928,1.5
46929,1.5
46930,1.5
46931,1.5
46932,1.5
46933,1.5
46934,1.5
46935,1.5
46936,1.5
46937,1.5
46938,1.5
46939,1.5
46940,1.5
46941,1.5
46942,1.5
46943,1.5
46944,0.0
46945,0.0
46946,0.0
46947,0.0
46948,0.0
47001,0.0
47002,0.0
47003,0.0
47004,0.0
47005,0.0
47006,0.0
47007,0.0
47008,0.0
47009,0.0
47010,0.0
47011,0.0
47012,0.0
47013,0.0
47014,0.0
47015,1.5
47016,1.5
47017,1.5
47018,1.5
47019,1.5
47020,1.5
47021,1.5
47022,1.5
47023,1.5
47024,1.5
47025,1.5
47026,1.5
47027,1.5
47028,1.5
47029,1.5
47030,1.5
47031,1.5
47032,1.5
47033,1.5
47034,1.5
47035,1.5
47036,1.5
47037,1.5
47038,1.5
47039,1.5
47040,1.5
47041,1.5
47042,1.5
47043,0.0
47044,0.0
47045,0.0
47046,0.0
47047,0.0
47048,0.0
47101,0.0
47102,0.0
47103,0.0
47104,0.0
47105,0.0
47106,0.0
47107,0.0
47108,0.0
47109,0.0
47110,0.0
47111,0.0
47112,0.0
47113,0.0
47114,0.0
47115,1.5
47116,1.5
47117,1.5
47118,1.5
47119,1.5
47120,1.5
47121,1.5
47122,1.5
47123,1.5
47124,1.5
47125,1.5
47126,1.5
47127,1.5
47128,1.5
47129,1.5
47130,1.5
47131,1.5
