DT,Usage
19501,0.646
19502,0.494
19503,0.623
19504,0.618
19505,0.587
19506,0.317
19507,0.13
19508,0.056
19509,0.133
19510,0.122
19511,0.078
19512,0.134
19513,0.1
19514,0.08
19515,0.148
19516,0.099
19517,0.065
19518,0.163
19519,0.105
19520,0.053
19521,0.371
19522,0.246
19523,0.455
19524,0.227
19525,0.267
19526,0.176
19527,0.817
19528,0.61
19529,0.093
19530,1.775
19531,1.017
19532,0.511
19533,0.31
19534,0.394
19535,0.949
19536,0.444
19537,0.293
19538,0.292
19539,3.458
19540,0.607
19541,0.365
19542,0.289
19543,0.3
19544,0.499
19545,0.512
19546,0.682
19547,0.88
19548,0.549
19601,0.542
19602,0.639
19603,0.589
19604,0.576
19605,0.679
19606,0.311
19607,0.143
19608,0.176
19609,0.096
19610,0.086
19611,0.174
19612,0.086
19613,0.085
19614,0.154
19615,0.059
19616,0.097
19617,0.168
19618,0.058
19619,0.089
19620,0.423
19621,0.754
19622,0.768
19623,0.218
19624,0.163
19625,0.148
19626,0.135
19627,0.062
19628,0.137
19629,0.157
19630,0.303
19631,1.314
19632,0.13
19633,0.496
19634,0.247
19635,0.941
19636,1.186
19637,0.235
19638,0.584
19639,0.573
19640,0.701
19641,0.787
19642,1.038
19643,0.52
19644,0.598
19645,0.46
19646,0.605
19647,0.601
19648,0.654
19701,0.64
19702,0.584
19703,0.641
19704,0.611
19705,0.273
19706,0.189
19707,0.148
19708,0.092
19709,0.175
19710,0.116
19711,0.125
19712,0.179
19713,0.098
19714,0.132
19715,0.194
19716,0.082
19717,0.424
19718,0.239
19719,0.163
19720,0.135
19721,0.204
19722,0.322
19723,0.748
19724,0.5
19725,0.193
19726,1.09
19727,0.187
19728,0.359
19729,0.157
19730,0.168
19731,0.186
19732,0.535
19733,0.185
19734,0.186
19735,0.138
19736,0.133
19737,0.765
19738,0.526
19739,0.215
19740,0.299
19741,0.572
19742,0.356
19743,1.377
19744,0.578
19745,0.952
19746,0.71
19747,0.519
19748,0.523
19801,0.724
19802,0.584
19803,0.595
19804,0.549
19805,0.528
19806,0.401
19807,0.185
19808,0.077
19809,0.17
19810,0.091
19811,0.105
19812,0.156
19813,0.063
19814,0.115
19815,0.103
19816,0.073
19817,0.16
19818,0.081
19819,0.07
19820,0.157
19821,0.385
19822,0.249
19823,0.366
19824,0.122
19825,0.078
19826,0.17
19827,0.152
19828,0.069
19829,0.103
19830,0.168
19831,0.415
19832,1.024
19833,0.15
19834,0.17
19835,1.027
19836,2.301
19837,1.847
19838,0.897
19839,0.937
19840,0.393
19841,0.472
19842,0.64
19843,0.618
19844,0.33
19845,0.636
19846,0.587
19847,0.514
19848,1.178
19901,0.598
19902,0.608
19903,0.65
19904,0.632
19905,0.591
19906,0.256
19907,0.107
19908,0.086
19909,0.171
19910,0.082
19911,0.103
19912,0.155
19913,0.069
19914,0.118
19915,0.14
19916,0.072
19917,0.348
19918,0.339
19919,0.142
19920,0.411
19921,1.758
19922,0.638
19923,0.714
19924,0.592
19925,0.463
19926,0.52
19927,0.126
19928,0.068
19929,0.152
19930,0.133
19931,0.246
19932,0.165
19933,0.153
19934,0.085
19935,0.237
19936,0.44
19937,0.372
19938,0.324
19939,0.309
19940,0.57
19941,0.938
19942,0.781
19943,0.644
19944,1.002
19945,0.908
19946,1.023
19947,0.87
19948,0.759
20001,0.669
20002,0.553
20003,0.66
20004,0.55
20005,0.553
20006,0.649
20007,0.359
20008,0.111
20009,0.172
20010,0.11
20011,0.113
20012,0.133
20013,0.064
20014,0.136
20015,0.13
20016,0.069
20017,0.142
20018,0.116
20019,0.064
20020,0.146
20021,0.12
20022,0.349
20023,0.373
20024,1.102
20025,0.314
20026,0.606
20027,2.08
20028,0.77
20029,0.613
20030,1.195
20031,0.479
20032,0.636
20033,0.277
20034,0.346
20035,0.539
20036,0.219
20037,0.424
20038,0.281
20039,0.212
20040,0.282
20041,0.277
