0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
119,12,5,1,1,2,1,1,0,0,0,0,0,0,0,0
17,4,2,0,1,0,2,0,1,0,0,0,0,1,0,0
4,6,25,10,5,1,1,1,0,0,0,0,0,0,0,0
0,3,16,28,3,0,0,0,0,1,0,0,1,0,1,0
0,1,3,6,3,1,1,3,0,0,1,0,0,0,0,0
1,0,2,1,3,1,0,1,0,1,0,0,0,0,0,0
1,1,1,2,2,0,0,1,0,0,0,0,0,0,0,0
0,1,0,1,0,3,1,0,1,0,1,0,0,0,0,1
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
