fila,columna,valor
3,3,1
3,2,1
2,3,1
3,0,1
0,0,1
0,0,2
0,0,3
0,0,4
0,0,5
0,0,6
0,0,7
0,0,8
0,0,9
0,0,10
0,0,11
0,0,12
0,0,13
0,0,14
0,0,15
0,1,1
1,1,1
1,1,2
1,1,3
1,6,1
6,1,1
1,0,1
0,4,1
4,0,1
0,9,1
9,4,1
4,1,1
1,8,1
8,8,1
8,6,1
6,7,1
7,2,1
2,2,1
2,8,1
8,2,1
2,1,1
1,1,4
1,2,1
2,2,2
2,3,2
3,2,2
2,2,3
2,2,4
2,2,5
2,2,6
2,2,7
2,2,8
2,1,2
1,0,2
0,0,16
0,0,17
0,0,18
0,0,19
0,0,20
0,0,21
0,0,22
0,0,23
0,0,24
0,0,25
0,0,26
0,0,27
0,1,2
1,0,3
0,0,28
0,1,3
1,0,4
0,1,4
1,0,5
0,0,29
0,0,30
0,0,31
0,0,32
0,0,33
0,0,34
0,3,1
3,8,1
8,4,1
4,5,1
5,3,1
3,2,3
2,1,3
1,1,5
1,1,6
1,3,1
3,2,4
2,2,9
2,2,10
2,2,11
2,2,12
2,2,13
2,2,14
2,3,3
3,2,5
2,2,15
2,2,16
2,1,4
1,0,6
0,0,35
0,0,36
0,0,37
0,0,38
0,0,39
0,0,40
0,0,41
0,0,42
0,0,43
0,0,44
0,0,45
0,0,46
0,0,47
0,2,1
2,2,17
2,2,18
2,1,5
1,1,7
1,1,8
1,1,9
1,0,7
0,0,48
0,0,49
0,0,50
0,0,51
0,0,52
0,0,53
0,1,5
1,4,1
4,1,2
1,1,10
1,1,11
1,1,12
1,1,13
1,3,2
3,2,6
2,11,1
11,4,1
4,3,1
3,2,7
2,2,19
2,2,20
2,3,4
3,3,2
3,2,8
2,2,21
2,2,22
2,0,1
0,0,54
0,0,55
0,0,56
0,0,57
0,0,58
0,0,59
0,0,60
0,0,61
0,0,62
0,0,63
0,0,64
0,0,65
0,0,66
0,0,67
0,2,2
2,0,2
0,2,3
2,1,6
1,0,8
0,1,6
1,0,9
0,3,2
3,0,2
0,1,7
1,1,14
1,3,3
3,11,1
11,7,1
7,1,1
1,3,4
3,2,9
2,1,7
1,1,15
1,1,16
1,1,17
1,7,1
7,7,1
7,2,2
2,3,5
3,3,3
3,2,10
2,2,23
2,3,6
3,3,4
3,2,11
2,1,8
1,0,10
0,0,68
0,0,69
0,0,70
0,0,71
0,0,72
0,0,73
0,1,8
1,1,18
1,1,19
1,0,11
0,0,74
0,1,9
1,1,20
1,1,21
1,1,22
1,1,23
1,0,12
0,0,75
0,0,76
0,0,77
0,0,78
0,0,79
0,0,80
0,0,81
0,0,82
0,0,83
0,0,84
0,1,10
1,1,24
1,2,2
2,1,9
1,1,25
1,3,5
3,1,1
1,5,1
5,3,2
3,3,5
3,2,12
2,4,1
4,5,2
5,3,3
3,2,13
2,2,24
2,2,25
2,2,26
2,2,27
2,2,28
2,3,7
3,2,14
2,0,3
0,0,85
0,0,86
0,0,87
0,0,88
0,0,89
0,0,90
0,0,91
0,0,92
0,0,93
0,0,94
0,0,95
0,0,96
0,0,97
0,0,98
0,0,99
0,2,4
2,5,1
5,4,1
4,8,1
8,4,2
4,5,3
5,4,2
4,5,4
5,5,1
5,3,4
3,1,2
1,2,3
2,1,10
1,1,26
1,2,4
2,3,8
3,1,3
1,6,2
6,2,1
2,10,1
10,2,1
2,6,1
6,4,1
4,4,1
4,3,2
3,2,15
2,2,29
2,2,30
2,2,31
2,2,32
2,1,11
1,0,13
0,0,100
0,0,101
0,0,102
0,0,103
0,0,104
0,0,105
0,0,106
0,0,107
0,0,108
0,0,109
0,0,110
0,0,111
0,0,112
0,1,11
1,1,27
1,1,28
1,2,5
2,1,12
1,0,14
0,3,3
3,2,16
2,1,13
1,0,15
0,1,12
1,0,16
0,3,4
3,4,1
4,6,1
6,4,2
4,3,3
3,2,17
2,1,14
1,1,29
1,1,30
1,1,31
1,2,6
2,2,33
2,2,34
2,2,35
2,2,36
2,8,2
8,4,3
