detector,n_bins,n_obs_per_period,alpha,testing_set,time2build,time2graphs,time2global,time2metrics,time2predict,time2window,tp,tn,fp,fn
Hamming,10,170,1,testing,0.015624523162841797,0.0,0.0,0.0,0.003000497817993164,0.02085089683532715,3,0,0,0
Hamming,10,170,2.5,testing,0.00900578498840332,0.00600123405456543,0.0010004043579101562,0.0,0.010875940322875977,0.003057241439819336,3,0,0,0
Hamming,10,170,5,testing,0.002048492431640625,0.0,0.0,0.0,0.010268688201904297,0.003056049346923828,3,0,0,0
Hamming,10,170,7.5,testing,0.009140729904174805,0.005120277404785156,0.0010132789611816406,0.0,0.0030035972595214844,0.006000518798828125,3,0,0,0
Hamming,10,170,10,testing,0.00912928581237793,0.00612640380859375,0.0009980201721191406,0.0,0.0,0.004060029983520508,3,0,0,0
Hamming,20,170,1,testing,0.014153718948364258,0.011702775955200195,0.0014431476593017578,0.0010077953338623047,0.0,0.00407099723815918,3,0,0,0
Hamming,20,170,2.5,testing,0.014623641967773438,0.0,0.014623641967773438,0.0,0.0020585060119628906,0.016167163848876953,3,0,0,0
Hamming,20,170,5,testing,0.0057239532470703125,0.0010929107666015625,0.0,0.0,0.0020961761474609375,0.019774913787841797,3,0,0,0
Hamming,20,170,7.5,testing,0.017116069793701172,0.004113197326660156,0.0,0.0,0.005011796951293945,0.0055425167083740234,3,0,0,0
Hamming,20,170,10,testing,0.012166500091552734,0.0070018768310546875,0.0010001659393310547,0.0,0.015510320663452148,0.005135774612426758,3,0,0,0
Hamming,30,170,1,testing,0.020267248153686523,0.018254518508911133,0.0020127296447753906,0.0,0.0,0.025823116302490234,3,0,0,0
Hamming,30,170,2.5,testing,0.005571842193603516,0.0,0.0,0.0,0.011932849884033203,0.0010154247283935547,3,0,0,0
Hamming,30,170,5,testing,0.02144932746887207,0.005904674530029297,0.0,0.0,0.007001399993896484,0.02290177345275879,3,0,0,0
Hamming,30,170,7.5,testing,0.014166831970214844,0.006151437759399414,0.0010142326354980469,0.0009953975677490234,0.008738279342651367,0.015158891677856445,3,0,0,0
Hamming,30,170,10,testing,0.020929574966430664,0.0074536800384521484,0.0010004043579101562,0.0009989738464355469,0.0069904327392578125,0.012766361236572266,3,0,0,0
Hamming,40,170,1,testing,0.017241716384887695,0.017241716384887695,0.0,0.0,0.0,0.016962528228759766,3,0,0,0
Hamming,40,170,2.5,testing,0.017003774642944336,0.006997823715209961,0.0019991397857666016,0.0,0.015941143035888672,0.021741628646850586,3,0,0,0
Hamming,40,170,5,testing,0.022553443908691406,0.022490501403808594,6.29425048828125e-05,0.0,0.001705169677734375,0.004041194915771484,3,0,0,0
Hamming,40,170,7.5,testing,0.017414093017578125,0.0,0.01051640510559082,0.0005352497100830078,0.01668715476989746,0.027104616165161133,3,0,0,0
Hamming,40,170,10,testing,0.015055418014526367,0.006055116653442383,0.0,0.0,0.01643657684326172,0.005066394805908203,3,0,0,0
Hamming,50,170,1,testing,0.022210359573364258,0.0010564327239990234,0.0,0.0,0.018994808197021484,0.016295671463012695,3,0,0,0
Hamming,50,170,2.5,testing,0.030558347702026367,0.0,0.010792016983032227,0.0010116100311279297,0.007099628448486328,0.032903194427490234,3,0,0,0
Hamming,50,170,5,testing,0.019361495971679688,0.012058734893798828,0.0013546943664550781,0.0,0.0017673969268798828,0.036078453063964844,3,0,0,0
Hamming,50,170,7.5,testing,0.017940282821655273,0.007926702499389648,0.0,0.0,0.0,0.021143674850463867,3,0,0,0
Hamming,50,170,10,testing,0.025098800659179688,0.023021936416625977,0.002076864242553711,0.0,0.016590118408203125,0.028266429901123047,3,0,0,0
Clark,10,170,1,testing,0.01773238182067871,0.016123056411743164,0.0006058216094970703,0.0010035037994384766,0.013280153274536133,0.0010972023010253906,3,0,0,0
Clark,10,170,2.5,testing,0.009839534759521484,0.0,0.009839534759521484,0.0,0.003997325897216797,0.0070018768310546875,3,0,0,0
Clark,10,170,5,testing,0.01048588752746582,0.0,0.01048588752746582,0.0,0.011803150177001953,0.0030951499938964844,3,0,0,0
Clark,10,170,7.5,testing,0.009704828262329102,0.0,0.009704828262329102,0.0,0.005660057067871094,0.004104137420654297,3,0,0,0
Clark,10,170,10,testing,0.009897708892822266,0.0,0.009897708892822266,0.0,0.003675222396850586,0.011077642440795898,3,0,0,0
Clark,20,170,1,testing,0.014640092849731445,0.012635231018066406,0.0009996891021728516,0.0010051727294921875,0.011351823806762695,0.002056598663330078,3,0,0,0
Clark,20,170,2.5,testing,0.018613815307617188,0.01660633087158203,0.0009996891021728516,0.0010077953338623047,0.0,0.004073143005371094,3,0,0,0
Clark,20,170,5,testing,0.012047767639160156,0.006000995635986328,0.002044677734375,0.0,0.0,0.0030660629272460938,3,0,0,0
Clark,20,170,7.5,testing,0.013407468795776367,0.0020537376403808594,0.005653858184814453,0.0009987354278564453,0.0,0.0052073001861572266,3,0,0,0
Clark,20,170,10,testing,0.012209653854370117,0.0014574527740478516,0.0057525634765625,0.0,0.0017957687377929688,0.006498813629150391,3,0,0,0
Clark,30,170,1,testing,0.015320539474487305,0.008829355239868164,0.0009996891021728516,0.0010004043579101562,0.0,0.022231578826904297,3,0,0,0
Clark,30,170,2.5,testing,0.016574621200561523,0.005995035171508789,0.0020067691802978516,0.0011529922485351562,0.011983871459960938,0.0,3,0,0,0
Clark,30,170,5,testing,0.020997047424316406,0.004049539566040039,0.0,0.0,0.007133960723876953,0.013663053512573242,3,0,0,0
Clark,30,170,7.5,testing,0.015184640884399414,0.006173849105834961,0.0020055770874023438,0.0,0.00700688362121582,0.0161588191986084,3,0,0,0
Clark,30,170,10,testing,0.016649246215820312,0.009106159210205078,0.001544952392578125,0.0,0.015121936798095703,0.0,3,0,0,0
Clark,40,170,1,testing,0.051795244216918945,0.03398585319519043,0.0,0.0,0.009001970291137695,0.025065183639526367,3,0,0,0
Clark,40,170,2.5,testing,0.01700282096862793,0.007001399993896484,0.0019996166229248047,0.0,0.0,0.016516685485839844,3,0,0,0
Clark,40,170,5,testing,0.019730806350708008,0.00867319107055664,0.0009999275207519531,0.001049041748046875,0.012089252471923828,0.026137351989746094,3,0,0,0
Clark,40,170,7.5,testing,0.025397539138793945,0.0070095062255859375,0.0009970664978027344,0.0010001659393310547,0.0,0.018610000610351562,3,0,0,0
Clark,40,170,10,testing,0.017841339111328125,0.008790731430053711,0.0010421276092529297,0.0,0.01561594009399414,0.01868271827697754,3,0,0,0
Clark,50,170,1,testing,0.02961444854736328,0.00709080696105957,0.002000093460083008,0.0,0.023862123489379883,0.014007329940795898,3,0,0,0
Clark,50,170,2.5,testing,0.020119667053222656,0.010446310043334961,0.0018932819366455078,3.8623809814453125e-05,0.010997533798217773,0.02493453025817871,3,0,0,0
Clark,50,170,5,testing,0.019461631774902344,0.007399797439575195,0.0010526180267333984,0.0,0.016956090927124023,0.0200960636138916,3,0,0,0
Clark,50,170,7.5,testing,0.021003007888793945,0.008008241653442383,0.000986337661743164,0.0009989738464355469,0.012045145034790039,0.03942131996154785,3,0,0,0
Clark,50,170,10,testing,0.020137310028076172,0.007014751434326172,0.0020003318786621094,0.0,0.011472225189208984,0.02620863914489746,3,0,0,0
Canberra,10,170,1,testing,0.0055658817291259766,0.003068685531616211,0.0,0.0,0.003000497817993164,0.0029997825622558594,3,0,0,0
Canberra,10,170,2.5,testing,0.010013818740844727,0.005006551742553711,0.0010001659393310547,0.0009999275207519531,0.003005504608154297,0.008006811141967773,3,0,0,0
Canberra,10,170,5,testing,0.010081052780151367,0.0050067901611328125,0.0020003318786621094,6.866455078125e-05,0.0,0.009384870529174805,3,0,0,0
Canberra,10,170,7.5,testing,0.006162405014038086,0.004097938537597656,0.0,0.0,0.0,0.010691642761230469,3,0,0,0
Canberra,10,170,10,testing,0.0010406970977783203,0.0,0.0,0.0,0.0,0.017154693603515625,3,0,0,0
Canberra,20,170,1,testing,0.015604257583618164,0.0,0.0,0.015604257583618164,0.0,0.006638050079345703,3,0,0,0
Canberra,20,170,2.5,testing,0.0,0.0,0.0,0.0,0.005001068115234375,0.018336057662963867,3,0,0,0
Canberra,20,170,5,testing,0.012005805969238281,0.006001949310302734,0.002000093460083008,0.0,0.0020401477813720703,0.0189669132232666,3,0,0,0
Canberra,20,170,7.5,testing,0.0,0.0,0.0,0.0,0.003107309341430664,0.016864776611328125,3,0,0,0
Canberra,20,170,10,testing,0.021583080291748047,0.006002187728881836,0.0009996891021728516,0.0010004043579101562,0.005036115646362305,0.0166776180267334,3,0,0,0
Canberra,30,170,1,testing,0.017678499221801758,0.004037618637084961,0.0,0.0,0.015889406204223633,0.019255876541137695,3,0,0,0
Canberra,30,170,2.5,testing,0.0158083438873291,0.0078067779541015625,0.0010001659393310547,0.001001119613647461,0.0,0.02291560173034668,3,0,0,0
Canberra,30,170,5,testing,0.01599431037902832,0.009043455123901367,0.00098419189453125,0.0010979175567626953,0.005057096481323242,0.01798844337463379,3,0,0,0
Canberra,30,170,7.5,testing,0.014769554138183594,0.0,0.008914947509765625,0.0,0.001828908920288086,0.022417306900024414,3,0,0,0
Canberra,30,170,10,testing,0.02433037757873535,0.007399082183837891,0.0,0.0,0.014038324356079102,0.007458209991455078,3,0,0,0
