detector,n_bins,n_obs_per_period,alpha,testing_set,time2build,time2predict,tp,tn,fp,fn
Hamming,30,170,5,testing,0.029548168182373047,0.012964010238647461,0,2,0,1
Cosine,30,170,5,testing,0.03642392158508301,0.01453399658203125,1,2,0,0
Jaccard,30,170,5,testing,0.03267192840576172,0.014094114303588867,1,2,0,0
Dice,30,170,5,testing,0.03214597702026367,0.014230966567993164,1,2,0,0
KL,30,170,5,testing,0.031193017959594727,0.014064788818359375,1,0,2,0
Jeffreys,30,170,5,testing,0.031410932540893555,0.013911008834838867,1,2,0,0
JS,30,170,5,testing,0.0401458740234375,0.015163898468017578,1,2,0,0
Euclidean,30,170,5,testing,0.03016519546508789,0.012894868850708008,1,2,0,0
Cityblock,30,170,5,testing,0.03206491470336914,0.014994144439697266,1,2,0,0
Chebyshev,30,170,5,testing,0.028990983963012695,0.012455224990844727,1,2,0,0
Minkowski,30,170,5,testing,0.0292050838470459,0.012552976608276367,1,2,0,0
Braycurtis,30,170,5,testing,0.029484033584594727,0.012928009033203125,1,2,0,0
Gower,30,170,5,testing,0.02853083610534668,0.012840986251831055,1,2,0,0
Soergel,30,170,5,testing,0.02826857566833496,0.0125579833984375,1,2,0,0
Kulczynski,30,170,5,testing,0.02919173240661621,0.013340234756469727,1,2,0,0
Canberra,30,170,5,testing,0.02879810333251953,0.01263117790222168,1,1,1,0
Lorentzian,30,170,5,testing,0.02821803092956543,0.012196063995361328,0,2,0,1
Bhattacharyya,30,170,5,testing,0.029313087463378906,0.012611865997314453,1,2,0,0
Hellinger,30,170,5,testing,0.02828216552734375,0.012366056442260742,1,2,0,0
Matusita,30,170,5,testing,0.028439998626708984,0.012337207794189453,1,2,0,0
Squaredchord,30,170,5,testing,0.028319835662841797,0.012347221374511719,1,2,0,0
Pearson,30,170,5,testing,0.02807927131652832,0.012662172317504883,1,0,2,0
Neyman,30,170,5,testing,0.028249263763427734,0.01345205307006836,1,2,0,0
Squared,30,170,5,testing,0.028903961181640625,0.012308835983276367,1,2,0,0
Probsymmetric,30,170,5,testing,0.028191089630126953,0.013007164001464844,1,2,0,0
Divergence,30,170,5,testing,0.028564929962158203,0.012551069259643555,1,1,1,0
Clark,30,170,5,testing,0.030735254287719727,0.013725996017456055,1,1,1,0
Additivesymmetric,30,170,5,testing,0.028728961944580078,0.012762784957885742,1,2,0,0
