detector,n_bins,n_obs_per_period,alpha,testing_set,time2build,time2graphs,time2global,time2metrics,time2predict,time2window,tp,tn,fp,fn
Hamming,5,24,1,normal,0.5118145942687988,0.3875288963317871,0.09726595878601074,0.025006771087646484,0.002000570297241211,5.630608320236206,0,210,0,0
Hamming,5,24,1,anomalous,0.5118145942687988,0.3875288963317871,0.09726595878601074,0.025006771087646484,0.0025582313537597656,5.543727159500122,0,0,0,210
Hamming,5,24,2,normal,0.5207908153533936,0.3980882167816162,0.09527587890625,0.02542734146118164,0.0023250579833984375,5.498646259307861,0,210,0,0
Hamming,5,24,2,anomalous,0.5207908153533936,0.3980882167816162,0.09527587890625,0.02542734146118164,0.002000570297241211,5.505695104598999,0,0,0,210
Hamming,5,24,3,normal,0.49240970611572266,0.3712337017059326,0.09576582908630371,0.023410558700561523,0.0021147727966308594,5.50542688369751,0,210,0,0
Hamming,5,24,3,anomalous,0.49240970611572266,0.3712337017059326,0.09576582908630371,0.023410558700561523,0.002000570297241211,5.5420567989349365,0,0,0,210
Hamming,5,24,4,normal,0.48853039741516113,0.3663632869720459,0.09659481048583984,0.02357649803161621,0.0020008087158203125,5.538632392883301,0,210,0,0
Hamming,5,24,4,anomalous,0.48853039741516113,0.3663632869720459,0.09659481048583984,0.02357649803161621,0.002001047134399414,5.5422141551971436,0,0,0,210
Hamming,5,24,5,normal,0.49759912490844727,0.3773939609527588,0.09478998184204102,0.02341747283935547,0.002000570297241211,5.539469242095947,0,210,0,0
Hamming,5,24,5,anomalous,0.49759912490844727,0.3773939609527588,0.09478998184204102,0.02341747283935547,0.0020003318786621094,5.572228670120239,0,0,0,210
Hamming,5,24,6,normal,0.49288344383239746,0.37064242362976074,0.0954899787902832,0.023744583129882812,0.0030012130737304688,5.5535712242126465,0,210,0,0
Hamming,5,24,6,anomalous,0.49288344383239746,0.37064242362976074,0.0954899787902832,0.023744583129882812,0.002000570297241211,5.554388046264648,0,0,0,210
Hamming,5,24,7,normal,0.5188150405883789,0.39908576011657715,0.09422492980957031,0.023491382598876953,0.002000570297241211,5.5154807567596436,0,210,0,0
Hamming,5,24,7,anomalous,0.5188150405883789,0.39908576011657715,0.09422492980957031,0.023491382598876953,0.0020003318786621094,5.527857780456543,0,0,0,210
Hamming,5,24,8,normal,0.4913649559020996,0.36985254287719727,0.09464740753173828,0.024855852127075195,0.0020117759704589844,5.540770769119263,0,210,0,0
Hamming,5,24,8,anomalous,0.4913649559020996,0.36985254287719727,0.09464740753173828,0.024855852127075195,0.002077817916870117,5.557992458343506,0,0,0,210
Hamming,5,24,9,normal,0.4966466426849365,0.3782949447631836,0.09384965896606445,0.023502588272094727,0.002000093460083008,5.539980888366699,0,210,0,0
Hamming,5,24,9,anomalous,0.4966466426849365,0.3782949447631836,0.09384965896606445,0.023502588272094727,0.0020055770874023438,5.543604135513306,0,0,0,210
Hamming,5,24,10,normal,0.4928309917449951,0.3720133304595947,0.09616947174072266,0.023649215698242188,0.003008604049682617,5.542320966720581,0,210,0,0
Hamming,5,24,10,anomalous,0.4928309917449951,0.3720133304595947,0.09616947174072266,0.023649215698242188,0.002180814743041992,5.5338990688323975,0,0,0,210
Hamming,10,24,1,normal,0.5169849395751953,0.3891716003417969,0.09838342666625977,0.02642512321472168,0.0030126571655273438,6.223711967468262,0,210,0,0
Hamming,10,24,1,anomalous,0.5169849395751953,0.3891716003417969,0.09838342666625977,0.02642512321472168,0.003000497817993164,6.260241508483887,0,0,0,210
Hamming,10,24,2,normal,0.544447660446167,0.4179267883300781,0.09885191917419434,0.025278568267822266,0.004007101058959961,6.2436909675598145,0,210,0,0
Hamming,10,24,2,anomalous,0.544447660446167,0.4179267883300781,0.09885191917419434,0.025278568267822266,0.0029954910278320312,6.269807815551758,0,0,0,210
Hamming,10,24,3,normal,0.5153775215148926,0.3892972469329834,0.09761476516723633,0.025479555130004883,0.003000497817993164,6.254518508911133,0,210,0,0
Hamming,10,24,3,anomalous,0.5153775215148926,0.3892972469329834,0.09761476516723633,0.025479555130004883,0.0030007362365722656,6.254573345184326,0,0,0,210
Hamming,10,24,4,normal,0.5152733325958252,0.3900606632232666,0.09757876396179199,0.025621652603149414,0.0030007362365722656,6.243847608566284,0,210,0,0
Hamming,10,24,4,anomalous,0.5152733325958252,0.3900606632232666,0.09757876396179199,0.025621652603149414,0.0030007362365722656,6.297405004501343,0,0,0,210
Hamming,10,24,5,normal,0.5186672210693359,0.3934144973754883,0.0965418815612793,0.025710344314575195,0.003010988235473633,6.254624843597412,0,210,0,0
Hamming,10,24,5,anomalous,0.5186672210693359,0.3934144973754883,0.0965418815612793,0.025710344314575195,0.004002094268798828,6.2717061042785645,0,0,0,210
Hamming,10,24,6,normal,0.5447955131530762,0.4201056957244873,0.09719729423522949,0.02549433708190918,0.0032758712768554688,6.251666784286499,0,210,0,0
Hamming,10,24,6,anomalous,0.5447955131530762,0.4201056957244873,0.09719729423522949,0.02549433708190918,0.0030007362365722656,6.279731273651123,0,0,0,210
Hamming,10,24,7,normal,0.5156564712524414,0.38817262649536133,0.0990610122680664,0.025411128997802734,0.0030066967010498047,6.238736391067505,0,210,0,0
Hamming,10,24,7,anomalous,0.5156564712524414,0.38817262649536133,0.0990610122680664,0.025411128997802734,0.0030007362365722656,6.256400108337402,0,0,0,210
