detector,n_bins,n_obs_per_period,alpha,testing_set,time2build,time2predict,tp,tn,fp,fn
Hamming,5,24,1,normal,1.012657880783081,0.23789691925048828,0,210,0,0
Hamming,5,24,1,anomalous,1.012657880783081,0.2624838352203369,0,0,0,210
Hamming,5,24,2,normal,0.954017162322998,0.23804903030395508,0,210,0,0
Hamming,5,24,2,anomalous,0.954017162322998,0.2547030448913574,0,0,0,210
Hamming,5,24,3,normal,0.964993953704834,0.24129414558410645,0,210,0,0
Hamming,5,24,3,anomalous,0.964993953704834,0.24457001686096191,0,0,0,210
Hamming,5,24,4,normal,0.9580972194671631,0.24068808555603027,0,210,0,0
Hamming,5,24,4,anomalous,0.9580972194671631,0.24264097213745117,0,0,0,210
Hamming,5,24,5,normal,0.9589331150054932,0.24133825302124023,0,210,0,0
Hamming,5,24,5,anomalous,0.9589331150054932,0.24121713638305664,0,0,0,210
Hamming,5,24,6,normal,0.950343132019043,0.24674510955810547,0,210,0,0
Hamming,5,24,6,anomalous,0.950343132019043,0.24701380729675293,0,0,0,210
Hamming,5,24,7,normal,1.0561070442199707,0.2425401210784912,0,210,0,0
Hamming,5,24,7,anomalous,1.0561070442199707,0.2504141330718994,0,0,0,210
Hamming,5,24,8,normal,1.0225310325622559,0.27112579345703125,0,210,0,0
Hamming,5,24,8,anomalous,1.0225310325622559,0.2534511089324951,0,0,0,210
Hamming,5,24,9,normal,1.0114738941192627,0.25756001472473145,0,210,0,0
Hamming,5,24,9,anomalous,1.0114738941192627,0.24752473831176758,0,0,0,210
Hamming,5,24,10,normal,0.9783551692962646,0.24343013763427734,0,210,0,0
Hamming,5,24,10,anomalous,0.9783551692962646,0.24698781967163086,0,0,0,210
Hamming,10,24,1,normal,1.2388889789581299,0.4505500793457031,0,210,0,0
Hamming,10,24,1,anomalous,1.2388889789581299,0.29456615447998047,0,0,0,210
Hamming,10,24,2,normal,1.2055668830871582,0.3986811637878418,0,210,0,0
Hamming,10,24,2,anomalous,1.2055668830871582,0.30435872077941895,0,0,0,210
Hamming,10,24,3,normal,1.2491929531097412,0.28057122230529785,0,200,10,0
Hamming,10,24,3,anomalous,1.2491929531097412,0.28087615966796875,21,0,0,189
Hamming,10,24,4,normal,1.1223249435424805,0.2795131206512451,0,200,10,0
Hamming,10,24,4,anomalous,1.1223249435424805,0.28771090507507324,21,0,0,189
Hamming,10,24,5,normal,1.119093894958496,0.2740309238433838,0,188,22,0
Hamming,10,24,5,anomalous,1.119093894958496,0.28539490699768066,21,0,0,189
Hamming,10,24,6,normal,1.1266419887542725,0.27959418296813965,0,188,22,0
Hamming,10,24,6,anomalous,1.1266419887542725,0.28154897689819336,21,0,0,189
Hamming,10,24,7,normal,1.1277308464050293,0.2741570472717285,0,188,22,0
Hamming,10,24,7,anomalous,1.1277308464050293,0.28559207916259766,21,0,0,189
Hamming,10,24,8,normal,1.124558925628662,0.27213597297668457,0,188,22,0
Hamming,10,24,8,anomalous,1.124558925628662,0.2812800407409668,21,0,0,189
Hamming,10,24,9,normal,1.1275689601898193,0.28203296661376953,0,188,22,0
Hamming,10,24,9,anomalous,1.1275689601898193,0.2827026844024658,21,0,0,189
Hamming,10,24,10,normal,1.1148180961608887,0.27385807037353516,0,188,22,0
Hamming,10,24,10,anomalous,1.1148180961608887,0.2844102382659912,21,0,0,189
Hamming,15,24,1,normal,1.3066730499267578,0.32053709030151367,0,210,0,0
Hamming,15,24,1,anomalous,1.3066730499267578,0.33501195907592773,0,0,0,210
Hamming,15,24,2,normal,1.3130629062652588,0.3173799514770508,0,210,0,0
Hamming,15,24,2,anomalous,1.3130629062652588,0.3349940776824951,0,0,0,210
Hamming,15,24,3,normal,1.3072130680084229,0.31916379928588867,0,210,0,0
Hamming,15,24,3,anomalous,1.3072130680084229,0.3302469253540039,0,0,0,210
Hamming,15,24,4,normal,1.3354339599609375,0.32080721855163574,0,210,0,0
Hamming,15,24,4,anomalous,1.3354339599609375,0.332550048828125,0,0,0,210
Hamming,15,24,5,normal,1.3182756900787354,0.3216981887817383,0,210,0,0
Hamming,15,24,5,anomalous,1.3182756900787354,0.3376336097717285,0,0,0,210
Hamming,15,24,6,normal,1.313464879989624,0.31931304931640625,0,210,0,0
Hamming,15,24,6,anomalous,1.313464879989624,0.33119893074035645,0,0,0,210
Hamming,15,24,7,normal,1.3125638961791992,0.3191487789154053,0,210,0,0
Hamming,15,24,7,anomalous,1.3125638961791992,0.32875800132751465,0,0,0,210
Hamming,15,24,8,normal,1.3078911304473877,0.32002687454223633,0,183,27,0
Hamming,15,24,8,anomalous,1.3078911304473877,0.32607221603393555,9,0,0,201
Hamming,15,24,9,normal,1.3161029815673828,0.3236579895019531,0,183,27,0
Hamming,15,24,9,anomalous,1.3161029815673828,0.32560110092163086,9,0,0,201
Hamming,15,24,10,normal,1.3197929859161377,0.32137012481689453,0,183,27,0
Hamming,15,24,10,anomalous,1.3197929859161377,0.3256502151489258,9,0,0,201
Hamming,20,24,1,normal,1.5006890296936035,0.3663208484649658,0,209,1,0
Hamming,20,24,1,anomalous,1.5006890296936035,0.3813309669494629,2,0,0,208
Hamming,20,24,2,normal,1.4905169010162354,0.3702561855316162,0,209,1,0
Hamming,20,24,2,anomalous,1.4905169010162354,0.37120914459228516,2,0,0,208
Hamming,20,24,3,normal,1.5241081714630127,0.3758280277252197,0,198,12,0
Hamming,20,24,3,anomalous,1.5241081714630127,0.36840391159057617,21,0,0,189
Hamming,20,24,4,normal,1.5052969455718994,0.36715006828308105,0,198,12,0
Hamming,20,24,4,anomalous,1.5052969455718994,0.3711659908294678,21,0,0,189
Hamming,20,24,5,normal,1.4976298809051514,0.3662259578704834,0,198,12,0
Hamming,20,24,5,anomalous,1.4976298809051514,0.3777039051055908,21,0,0,189
Hamming,20,24,6,normal,1.4959301948547363,0.3716769218444824,0,198,12,0
Hamming,20,24,6,anomalous,1.4959301948547363,0.3750028610229492,21,0,0,189
Hamming,20,24,7,normal,1.4943041801452637,0.37818002700805664,0,198,12,0
Hamming,20,24,7,anomalous,1.4943041801452637,0.3705010414123535,21,0,0,189
Hamming,20,24,8,normal,1.5066533088684082,0.3685307502746582,0,198,12,0
Hamming,20,24,8,anomalous,1.5066533088684082,0.3731250762939453,21,0,0,189
Hamming,20,24,9,normal,1.5036048889160156,0.36710190773010254,0,171,39,0
Hamming,20,24,9,anomalous,1.5036048889160156,0.3774099349975586,31,0,0,179
Hamming,20,24,10,normal,1.4960041046142578,0.37120723724365234,0,171,39,0
Hamming,20,24,10,anomalous,1.4960041046142578,0.37314891815185547,31,0,0,179
Hamming,25,24,1,normal,1.69551682472229,0.4162161350250244,0,209,1,0
Hamming,25,24,1,anomalous,1.69551682472229,0.4208250045776367,2,0,0,208
Hamming,25,24,2,normal,1.6861469745635986,0.4174342155456543,0,209,1,0
Hamming,25,24,2,anomalous,1.6861469745635986,0.4210700988769531,2,0,0,208
Hamming,25,24,3,normal,1.684718132019043,0.4118919372558594,0,209,1,0
Hamming,25,24,3,anomalous,1.684718132019043,0.41742396354675293,2,0,0,208
Hamming,25,24,4,normal,1.6766681671142578,0.41814279556274414,0,209,1,0
Hamming,25,24,4,anomalous,1.6766681671142578,0.4196970462799072,2,0,0,208
Hamming,25,24,5,normal,1.6903769969940186,0.41594600677490234,0,209,1,0
Hamming,25,24,5,anomalous,1.6903769969940186,0.4273841381072998,2,0,0,208
Hamming,25,24,6,normal,1.6862640380859375,0.41675686836242676,0,209,1,0
Hamming,25,24,6,anomalous,1.6862640380859375,0.4234459400177002,2,0,0,208
Hamming,25,24,7,normal,1.682650089263916,0.4115328788757324,0,209,1,0
Hamming,25,24,7,anomalous,1.682650089263916,0.4244577884674072,2,0,0,208
Hamming,25,24,8,normal,1.6770591735839844,0.4188716411590576,0,209,1,0
Hamming,25,24,8,anomalous,1.6770591735839844,0.41640281677246094,2,0,0,208
Hamming,25,24,9,normal,1.6830718517303467,0.41394805908203125,0,194,16,0
Hamming,25,24,9,anomalous,1.6830718517303467,0.42544102668762207,13,0,0,197
Hamming,25,24,10,normal,1.694411039352417,0.4191460609436035,0,194,16,0
Hamming,25,24,10,anomalous,1.694411039352417,0.4179248809814453,13,0,0,197
Hamming,30,24,1,normal,1.8774490356445312,0.46191883087158203,0,205,5,0
Hamming,30,24,1,anomalous,1.8774490356445312,0.4639286994934082,5,0,0,205
Hamming,30,24,2,normal,1.8763258457183838,0.45688509941101074,0,205,5,0
Hamming,30,24,2,anomalous,1.8763258457183838,0.4738578796386719,5,0,0,205
Hamming,30,24,3,normal,1.8770527839660645,0.45958995819091797,0,205,5,0
Hamming,30,24,3,anomalous,1.8770527839660645,0.4702799320220947,5,0,0,205
Hamming,30,24,4,normal,1.8734283447265625,0.46476292610168457,0,190,20,0
Hamming,30,24,4,anomalous,1.8734283447265625,0.46506381034851074,15,0,0,195
Hamming,30,24,5,normal,1.888688087463379,0.4643399715423584,0,190,20,0
Hamming,30,24,5,anomalous,1.888688087463379,0.46213412284851074,15,0,0,195
Hamming,30,24,6,normal,1.8805010318756104,0.4614720344543457,0,190,20,0
Hamming,30,24,6,anomalous,1.8805010318756104,0.4647340774536133,15,0,0,195
Hamming,30,24,7,normal,1.8909919261932373,0.4597151279449463,0,190,20,0
Hamming,30,24,7,anomalous,1.8909919261932373,0.4726588726043701,15,0,0,195
Hamming,30,24,8,normal,1.876298189163208,0.4568150043487549,0,190,20,0
Hamming,30,24,8,anomalous,1.876298189163208,0.47542309761047363,15,0,0,195
Hamming,30,24,9,normal,1.8636209964752197,0.4611320495605469,0,190,20,0
Hamming,30,24,9,anomalous,1.8636209964752197,0.4638669490814209,15,0,0,195
Hamming,30,24,10,normal,1.8647639751434326,0.4637010097503662,0,190,20,0
Hamming,30,24,10,anomalous,1.8647639751434326,0.46233296394348145,15,0,0,195
