detector,n_bins,n_obs_per_period,alpha,testing_set,time2build,time2graphs,time2global,time2metrics,time2predict,time2window,tp,tn,fp,fn
Hamming,30,336,5,normal,0.07694840431213379,0.05571103096008301,0.00899958610534668,0.00400090217590332,0.007207393646240234,0.17714428901672363,0,15,0,0
Hamming,30,336,5,anomalous,0.07694840431213379,0.05571103096008301,0.00899958610534668,0.00400090217590332,0.00715184211730957,0.17804384231567383,15,0,0,0
Cosine,30,336,5,normal,0.07057619094848633,0.05125856399536133,0.008000612258911133,0.004311800003051758,0.007338762283325195,0.1827702522277832,0,15,0,0
Cosine,30,336,5,anomalous,0.07057619094848633,0.05125856399536133,0.008000612258911133,0.004311800003051758,0.007343769073486328,0.17944049835205078,14,0,0,1
Jaccard,30,336,5,normal,0.0707557201385498,0.05074763298034668,0.008002042770385742,0.004007101058959961,0.007262468338012695,0.17255806922912598,0,15,0,0
Jaccard,30,336,5,anomalous,0.0707557201385498,0.05074763298034668,0.008002042770385742,0.004007101058959961,0.007001161575317383,0.17963409423828125,0,0,0,15
Dice,30,336,5,normal,0.07659220695495605,0.05644869804382324,0.009002447128295898,0.0040013790130615234,0.007002830505371094,0.17749333381652832,0,15,0,0
Dice,30,336,5,anomalous,0.07659220695495605,0.05644869804382324,0.009002447128295898,0.0040013790130615234,0.0072193145751953125,0.18416833877563477,0,0,0,15
KL,30,336,5,normal,0.12442970275878906,0.07706189155578613,0.008000373840332031,0.03219103813171387,0.009000778198242188,0.541839599609375,0,1,14,0
KL,30,336,5,anomalous,0.12442970275878906,0.07706189155578613,0.008000373840332031,0.03219103813171387,0.008187055587768555,0.5447051525115967,15,0,0,0
Jeffreys,30,336,5,normal,0.08457446098327637,0.0635673999786377,0.008001327514648438,0.004001140594482422,0.008008241653442383,0.19364714622497559,0,15,0,0
Jeffreys,30,336,5,anomalous,0.08457446098327637,0.0635673999786377,0.008001327514648438,0.004001140594482422,0.00716090202331543,0.19174981117248535,15,0,0,0
JS,30,336,5,normal,0.07466864585876465,0.05249142646789551,0.008005857467651367,0.0061762332916259766,0.008013010025024414,0.21552228927612305,0,15,0,0
JS,30,336,5,anomalous,0.07466864585876465,0.05249142646789551,0.008005857467651367,0.0061762332916259766,0.007388114929199219,0.2155623435974121,15,0,0,0
Euclidean,30,336,5,normal,0.07230496406555176,0.04985380172729492,0.009250164031982422,0.006205558776855469,0.008197784423828125,0.18026399612426758,0,15,0,0
Euclidean,30,336,5,anomalous,0.07230496406555176,0.04985380172729492,0.009250164031982422,0.006205558776855469,0.0073010921478271484,0.17543482780456543,15,0,0,0
Cityblock,30,336,5,normal,0.07309103012084961,0.054024696350097656,0.009014606475830078,0.0019936561584472656,0.009205102920532227,0.17192602157592773,0,15,0,0
Cityblock,30,336,5,anomalous,0.07309103012084961,0.054024696350097656,0.009014606475830078,0.0019936561584472656,0.008013725280761719,0.16942167282104492,15,0,0,0
Chebyshev,30,336,5,normal,0.07402372360229492,0.05077552795410156,0.007995843887329102,0.007006645202636719,0.007012605667114258,0.23479986190795898,0,15,0,0
Chebyshev,30,336,5,anomalous,0.07402372360229492,0.05077552795410156,0.007995843887329102,0.007006645202636719,0.008143424987792969,0.23379015922546387,15,0,0,0
Minkowski,30,336,5,normal,0.0699005126953125,0.0488896369934082,0.009001970291137695,0.004007101058959961,0.007265806198120117,0.19443726539611816,0,15,0,0
Minkowski,30,336,5,anomalous,0.0699005126953125,0.0488896369934082,0.009001970291137695,0.004007101058959961,0.008004426956176758,0.19322681427001953,15,0,0,0
Braycurtis,30,336,5,normal,0.06814169883728027,0.049135684967041016,0.008002996444702148,0.0030007362365722656,0.007012605667114258,0.17806506156921387,0,15,0,0
Braycurtis,30,336,5,anomalous,0.06814169883728027,0.049135684967041016,0.008002996444702148,0.0030007362365722656,0.007003068923950195,0.1771562099456787,15,0,0,0
Gower,30,336,5,normal,0.06914591789245605,0.04987835884094238,0.008124113082885742,0.0030066967010498047,0.008007287979125977,0.16521620750427246,0,15,0,0
Gower,30,336,5,anomalous,0.06914591789245605,0.04987835884094238,0.008124113082885742,0.0030066967010498047,0.007284879684448242,0.17141079902648926,15,0,0,0
Soergel,30,336,5,normal,0.0731801986694336,0.05467987060546875,0.008272171020507812,0.003012418746948242,0.008244037628173828,0.17146706581115723,0,15,0,0
Soergel,30,336,5,anomalous,0.0731801986694336,0.05467987060546875,0.008272171020507812,0.003012418746948242,0.007013797760009766,0.1768627166748047,15,0,0,0
Kulczynski,30,336,5,normal,0.06779980659484863,0.04880118370056152,0.007997989654541016,0.00400090217590332,0.007001399993896484,0.17853093147277832,0,15,0,0
Kulczynski,30,336,5,anomalous,0.06779980659484863,0.04880118370056152,0.007997989654541016,0.00400090217590332,0.008013725280761719,0.17476677894592285,15,0,0,0
Canberra,30,336,5,normal,0.07128000259399414,0.05012631416320801,0.008001327514648438,0.003999471664428711,0.00800180435180664,0.1957085132598877,0,15,0,0
Canberra,30,336,5,anomalous,0.07128000259399414,0.05012631416320801,0.008001327514648438,0.003999471664428711,0.0072100162506103516,0.19525790214538574,15,0,0,0
Lorentzian,30,336,5,normal,0.06764101982116699,0.04851078987121582,0.009003162384033203,0.002999544143676758,0.008165597915649414,0.17806577682495117,0,15,0,0
Lorentzian,30,336,5,anomalous,0.06764101982116699,0.04851078987121582,0.009003162384033203,0.002999544143676758,0.008002519607543945,0.17879533767700195,0,0,0,15
Bhattacharyya,30,336,5,normal,0.06897878646850586,0.05096602439880371,0.008007287979125977,0.0030062198638916016,0.007003068923950195,0.17963409423828125,0,15,0,0
Bhattacharyya,30,336,5,anomalous,0.06897878646850586,0.05096602439880371,0.008007287979125977,0.0030062198638916016,0.00800323486328125,0.1744251251220703,15,0,0,0
Hellinger,30,336,5,normal,0.0683126449584961,0.04984307289123535,0.008000850677490234,0.00319671630859375,0.008189201354980469,0.16830110549926758,0,15,0,0
Hellinger,30,336,5,anomalous,0.0683126449584961,0.04984307289123535,0.008000850677490234,0.00319671630859375,0.008124351501464844,0.17367076873779297,15,0,0,0
Matusita,30,336,5,normal,0.08475875854492188,0.06676101684570312,0.008003473281860352,0.0029990673065185547,0.007332801818847656,0.17069005966186523,0,15,0,0
Matusita,30,336,5,anomalous,0.08475875854492188,0.06676101684570312,0.008003473281860352,0.0029990673065185547,0.007013559341430664,0.17028546333312988,15,0,0,0
Squaredchord,30,336,5,normal,0.07091045379638672,0.05264115333557129,0.008000373840332031,0.0030057430267333984,0.00728607177734375,0.17372655868530273,0,15,0,0
Squaredchord,30,336,5,anomalous,0.07091045379638672,0.05264115333557129,0.008000373840332031,0.0030057430267333984,0.008180618286132812,0.1722431182861328,15,0,0,0
Pearson,30,336,5,normal,0.07103323936462402,0.05053853988647461,0.008014678955078125,0.005305051803588867,0.007187843322753906,0.1810472011566162,0,1,14,0
Pearson,30,336,5,anomalous,0.07103323936462402,0.05053853988647461,0.008014678955078125,0.005305051803588867,0.0071604251861572266,0.17991328239440918,14,0,0,1
Neyman,30,336,5,normal,0.06906986236572266,0.049970388412475586,0.008089065551757812,0.004008769989013672,0.007003068923950195,0.1845259666442871,0,15,0,0
Neyman,30,336,5,anomalous,0.06906986236572266,0.049970388412475586,0.008089065551757812,0.004008769989013672,0.007279157638549805,0.1802835464477539,15,0,0,0
Squared,30,336,5,normal,0.06839609146118164,0.049347639083862305,0.008001089096069336,0.003001689910888672,0.008203506469726562,0.18091702461242676,0,15,0,0
Squared,30,336,5,anomalous,0.06839609146118164,0.049347639083862305,0.008001089096069336,0.003001689910888672,0.007193326950073242,0.18433451652526855,15,0,0,0
Probsymmetric,30,336,5,normal,0.0739896297454834,0.05473160743713379,0.008268594741821289,0.00400090217590332,0.007207155227661133,0.18253469467163086,0,15,0,0
Probsymmetric,30,336,5,anomalous,0.0739896297454834,0.05473160743713379,0.008268594741821289,0.00400090217590332,0.007281780242919922,0.18331480026245117,15,0,0,0
Divergence,30,336,5,normal,0.07057523727416992,0.05132436752319336,0.008002042770385742,0.004000663757324219,0.009001970291137695,0.18880152702331543,0,15,0,0
Divergence,30,336,5,anomalous,0.07057523727416992,0.05132436752319336,0.008002042770385742,0.004000663757324219,0.007230520248413086,0.1880173683166504,15,0,0,0
Clark,30,336,5,normal,0.07052373886108398,0.051322221755981445,0.008001089096069336,0.00400090217590332,0.008002758026123047,0.18187499046325684,0,15,0,0
Clark,30,336,5,anomalous,0.07052373886108398,0.051322221755981445,0.008001089096069336,0.00400090217590332,0.008002042770385742,0.18800640106201172,15,0,0,0
Additivesymmetric,30,336,5,normal,0.06966447830200195,0.050328731536865234,0.009159326553344727,0.002999544143676758,0.00733494758605957,0.18226408958435059,0,15,0,0
Additivesymmetric,30,336,5,anomalous,0.06966447830200195,0.050328731536865234,0.009159326553344727,0.002999544143676758,0.007188081741333008,0.1866457462310791,14,0,0,1
