detector,n_bins,n_obs_per_period,alpha,testing_set,time2build,time2predict,tp,tn,fp,fn
Hamming,30,336,5,normal,0.1602308750152588,0.04300808906555176,0,14,1,0
Hamming,30,336,5,anomalous,0.1602308750152588,0.059934139251708984,10,0,0,5
Cosine,30,336,5,normal,0.19345903396606445,0.04918098449707031,0,15,0,0
Cosine,30,336,5,anomalous,0.19345903396606445,0.048050880432128906,2,0,0,13
Jaccard,30,336,5,normal,0.16888022422790527,0.04571986198425293,0,10,5,0
Jaccard,30,336,5,anomalous,0.16888022422790527,0.045207977294921875,1,0,0,14
Dice,30,336,5,normal,0.1701350212097168,0.04534101486206055,0,10,5,0
Dice,30,336,5,anomalous,0.1701350212097168,0.0453341007232666,1,0,0,14
KL,30,336,5,normal,0.1783428192138672,0.04616689682006836,0,10,5,0
KL,30,336,5,anomalous,0.1783428192138672,0.04798293113708496,14,0,0,1
Jeffreys,30,336,5,normal,0.1747899055480957,0.04481697082519531,0,14,1,0
Jeffreys,30,336,5,anomalous,0.1747899055480957,0.04504084587097168,15,0,0,0
JS,30,336,5,normal,0.17223715782165527,0.046118974685668945,0,14,1,0
JS,30,336,5,anomalous,0.17223715782165527,0.04929184913635254,15,0,0,0
Euclidean,30,336,5,normal,0.16983485221862793,0.04495882987976074,0,14,1,0
Euclidean,30,336,5,anomalous,0.16983485221862793,0.046968936920166016,15,0,0,0
Cityblock,30,336,5,normal,0.17174673080444336,0.04636502265930176,0,14,1,0
Cityblock,30,336,5,anomalous,0.17174673080444336,0.05172896385192871,15,0,0,0
Chebyshev,30,336,5,normal,0.1734011173248291,0.04575324058532715,0,14,1,0
Chebyshev,30,336,5,anomalous,0.1734011173248291,0.046961069107055664,6,0,0,9
Minkowski,30,336,5,normal,0.16984820365905762,0.04450583457946777,0,14,1,0
Minkowski,30,336,5,anomalous,0.16984820365905762,0.04670310020446777,12,0,0,3
Braycurtis,30,336,5,normal,0.16841602325439453,0.04550766944885254,0,14,1,0
Braycurtis,30,336,5,anomalous,0.16841602325439453,0.04654502868652344,15,0,0,0
Gower,30,336,5,normal,0.16910696029663086,0.04687619209289551,0,14,1,0
Gower,30,336,5,anomalous,0.16910696029663086,0.05129289627075195,15,0,0,0
Soergel,30,336,5,normal,0.1722869873046875,0.04367208480834961,0,14,1,0
Soergel,30,336,5,anomalous,0.1722869873046875,0.04680299758911133,15,0,0,0
Kulczynski,30,336,5,normal,0.1661849021911621,0.04351520538330078,0,14,1,0
Kulczynski,30,336,5,anomalous,0.1661849021911621,0.04609036445617676,15,0,0,0
Canberra,30,336,5,normal,0.16998004913330078,0.04515409469604492,0,14,1,0
Canberra,30,336,5,anomalous,0.16998004913330078,0.04595303535461426,15,0,0,0
Lorentzian,30,336,5,normal,0.16760015487670898,0.045517921447753906,0,13,2,0
Lorentzian,30,336,5,anomalous,0.16760015487670898,0.05122208595275879,0,0,0,15
Bhattacharyya,30,336,5,normal,0.1711270809173584,0.04391813278198242,0,14,1,0
Bhattacharyya,30,336,5,anomalous,0.1711270809173584,0.045667171478271484,15,0,0,0
Hellinger,30,336,5,normal,0.16573810577392578,0.04409503936767578,0,14,1,0
Hellinger,30,336,5,anomalous,0.16573810577392578,0.046607017517089844,15,0,0,0
Matusita,30,336,5,normal,0.1669449806213379,0.043768882751464844,0,14,1,0
Matusita,30,336,5,anomalous,0.1669449806213379,0.04485797882080078,15,0,0,0
Squaredchord,30,336,5,normal,0.16646504402160645,0.04434919357299805,0,14,1,0
Squaredchord,30,336,5,anomalous,0.16646504402160645,0.050477027893066406,15,0,0,0
Pearson,30,336,5,normal,0.17219090461730957,0.049134016036987305,0,10,5,0
Pearson,30,336,5,anomalous,0.17219090461730957,0.05054736137390137,5,0,0,10
Neyman,30,336,5,normal,0.18464112281799316,0.04874897003173828,0,14,1,0
Neyman,30,336,5,anomalous,0.18464112281799316,0.049730777740478516,14,0,0,1
Squared,30,336,5,normal,0.1767420768737793,0.04619121551513672,0,14,1,0
Squared,30,336,5,anomalous,0.1767420768737793,0.07812094688415527,15,0,0,0
Probsymmetric,30,336,5,normal,0.1943042278289795,0.046679019927978516,0,14,1,0
Probsymmetric,30,336,5,anomalous,0.1943042278289795,0.04942584037780762,15,0,0,0
Divergence,30,336,5,normal,0.21539092063903809,0.05509495735168457,0,15,0,0
Divergence,30,336,5,anomalous,0.21539092063903809,0.05205798149108887,15,0,0,0
Clark,30,336,5,normal,0.1714487075805664,0.04586505889892578,0,15,0,0
Clark,30,336,5,anomalous,0.1714487075805664,0.04686594009399414,15,0,0,0
Additivesymmetric,30,336,5,normal,0.18326807022094727,0.04726290702819824,0,15,0,0
Additivesymmetric,30,336,5,anomalous,0.18326807022094727,0.04848480224609375,2,0,0,13
