detector,n_bins,n_obs_per_period,alpha,testing_set,time2build,time2predict,tp,tn,fp,fn
Hamming,40,168,5,normal,0.12215399742126465,0.03383517265319824,0,10,0,0
Hamming,40,168,5,anomalous,0.12215399742126465,0.04351997375488281,0,0,0,10
Cosine,40,168,5,normal,0.14292216300964355,0.03797507286071777,0,10,0,0
Cosine,40,168,5,anomalous,0.14292216300964355,0.03920483589172363,0,0,0,10
Jaccard,40,168,5,normal,0.1508791446685791,0.03409314155578613,0,7,3,0
Jaccard,40,168,5,anomalous,0.1508791446685791,0.032077789306640625,1,0,0,9
Dice,40,168,5,normal,0.12914800643920898,0.033972978591918945,0,7,3,0
Dice,40,168,5,anomalous,0.12914800643920898,0.032874107360839844,1,0,0,9
KL,40,168,5,normal,0.13163495063781738,0.034322261810302734,0,2,8,0
KL,40,168,5,anomalous,0.13163495063781738,0.033933162689208984,10,0,0,0
Jeffreys,40,168,5,normal,0.1317739486694336,0.0340118408203125,0,10,0,0
Jeffreys,40,168,5,anomalous,0.1317739486694336,0.0322260856628418,4,0,0,6
JS,40,168,5,normal,0.13434529304504395,0.0346989631652832,0,10,0,0
JS,40,168,5,anomalous,0.13434529304504395,0.03773808479309082,4,0,0,6
Euclidean,40,168,5,normal,0.13179707527160645,0.037223100662231445,0,8,2,0
Euclidean,40,168,5,anomalous,0.13179707527160645,0.03340005874633789,1,0,0,9
Cityblock,40,168,5,normal,0.1392371654510498,0.03598475456237793,0,10,0,0
Cityblock,40,168,5,anomalous,0.1392371654510498,0.03489995002746582,4,0,0,6
Chebyshev,40,168,5,normal,0.13565707206726074,0.03459906578063965,0,8,2,0
Chebyshev,40,168,5,anomalous,0.13565707206726074,0.03601193428039551,1,0,0,9
Minkowski,40,168,5,normal,0.14250922203063965,0.03792905807495117,0,8,2,0
Minkowski,40,168,5,anomalous,0.14250922203063965,0.03572487831115723,1,0,0,9
Braycurtis,40,168,5,normal,0.13808894157409668,0.03628373146057129,0,10,0,0
Braycurtis,40,168,5,anomalous,0.13808894157409668,0.03493785858154297,4,0,0,6
Gower,40,168,5,normal,0.14437508583068848,0.03703594207763672,0,10,0,0
Gower,40,168,5,anomalous,0.14437508583068848,0.03967785835266113,4,0,0,6
Soergel,40,168,5,normal,0.1385331153869629,0.036229848861694336,0,10,0,0
Soergel,40,168,5,anomalous,0.1385331153869629,0.03607487678527832,4,0,0,6
Kulczynski,40,168,5,normal,0.13939404487609863,0.03645586967468262,0,10,0,0
Kulczynski,40,168,5,anomalous,0.13939404487609863,0.03675484657287598,4,0,0,6
Canberra,40,168,5,normal,0.13471317291259766,0.03628969192504883,0,10,0,0
Canberra,40,168,5,anomalous,0.13471317291259766,0.03677797317504883,5,0,0,5
Lorentzian,40,168,5,normal,0.1989891529083252,0.0363461971282959,0,10,0,0
Lorentzian,40,168,5,anomalous,0.1989891529083252,0.0320589542388916,0,0,0,10
Bhattacharyya,40,168,5,normal,0.14795327186584473,0.04441404342651367,0,10,0,0
Bhattacharyya,40,168,5,anomalous,0.14795327186584473,0.04186105728149414,4,0,0,6
Hellinger,40,168,5,normal,0.14936494827270508,0.03556203842163086,0,10,0,0
Hellinger,40,168,5,anomalous,0.14936494827270508,0.04061698913574219,4,0,0,6
Matusita,40,168,5,normal,0.13046884536743164,0.033385276794433594,0,10,0,0
Matusita,40,168,5,anomalous,0.13046884536743164,0.03359270095825195,4,0,0,6
Squaredchord,40,168,5,normal,0.13467693328857422,0.03852677345275879,0,10,0,0
Squaredchord,40,168,5,anomalous,0.13467693328857422,0.03419804573059082,4,0,0,6
Pearson,40,168,5,normal,0.13585782051086426,0.035817861557006836,0,2,8,0
Pearson,40,168,5,anomalous,0.13585782051086426,0.035104990005493164,10,0,0,0
Neyman,40,168,5,normal,0.13463807106018066,0.033577919006347656,0,10,0,0
Neyman,40,168,5,anomalous,0.13463807106018066,0.03580904006958008,0,0,0,10
Squared,40,168,5,normal,0.17362689971923828,0.033985137939453125,0,10,0,0
Squared,40,168,5,anomalous,0.17362689971923828,0.03612709045410156,4,0,0,6
Probsymmetric,40,168,5,normal,0.15245795249938965,0.040322065353393555,0,10,0,0
Probsymmetric,40,168,5,anomalous,0.15245795249938965,0.04135918617248535,4,0,0,6
Divergence,40,168,5,normal,0.14887499809265137,0.037313222885131836,0,10,0,0
Divergence,40,168,5,anomalous,0.14887499809265137,0.03626084327697754,4,0,0,6
Clark,40,168,5,normal,0.13812899589538574,0.036577701568603516,0,10,0,0
Clark,40,168,5,anomalous,0.13812899589538574,0.0362548828125,4,0,0,6
Additivesymmetric,40,168,5,normal,0.14053010940551758,0.03784012794494629,0,10,0,0
Additivesymmetric,40,168,5,anomalous,0.14053010940551758,0.04167318344116211,2,0,0,8
Hamming,40,168,5,normal,0.12592601776123047,0.03550314903259277,0,10,0,0
Hamming,40,168,5,anomalous,0.12592601776123047,0.03974175453186035,0,0,0,10
Cosine,40,168,5,normal,0.13150978088378906,0.03478693962097168,0,10,0,0
Cosine,40,168,5,anomalous,0.13150978088378906,0.03357386589050293,0,0,0,10
Jaccard,40,168,5,normal,0.1314089298248291,0.034262895584106445,0,7,3,0
Jaccard,40,168,5,anomalous,0.1314089298248291,0.03410625457763672,1,0,0,9
Dice,40,168,5,normal,0.1317760944366455,0.03392791748046875,0,7,3,0
Dice,40,168,5,anomalous,0.1317760944366455,0.03282308578491211,1,0,0,9
KL,40,168,5,normal,0.13534808158874512,0.03502607345581055,0,2,8,0
KL,40,168,5,anomalous,0.13534808158874512,0.034033775329589844,10,0,0,0
Jeffreys,40,168,5,normal,0.13276100158691406,0.034288883209228516,0,10,0,0
Jeffreys,40,168,5,anomalous,0.13276100158691406,0.03400778770446777,4,0,0,6
JS,40,168,5,normal,0.14002084732055664,0.034770965576171875,0,10,0,0
JS,40,168,5,anomalous,0.14002084732055664,0.034002065658569336,4,0,0,6
Euclidean,40,168,5,normal,0.13432598114013672,0.034131765365600586,0,8,2,0
Euclidean,40,168,5,anomalous,0.13432598114013672,0.034028053283691406,1,0,0,9
Cityblock,40,168,5,normal,0.13097715377807617,0.0339200496673584,0,10,0,0
Cityblock,40,168,5,anomalous,0.13097715377807617,0.03359270095825195,4,0,0,6
Chebyshev,40,168,5,normal,0.13418912887573242,0.03498506546020508,0,8,2,0
Chebyshev,40,168,5,anomalous,0.13418912887573242,0.0360722541809082,1,0,0,9
Minkowski,40,168,5,normal,0.13450002670288086,0.03411579132080078,0,8,2,0
Minkowski,40,168,5,anomalous,0.13450002670288086,0.03423595428466797,1,0,0,9
