detector,n_bins,n_obs_per_period,alpha,testing_set,time_model_creation,time_model_prediction,n_tp,n_tn,n_fp,n_fn
Hamming,10,84,1,normal,0.31797194480895996,0.07885599136352539,0,60,0,0
Hamming,10,84,1,anomalous,0.31797194480895996,0.10623383522033691,0,0,0,60
Hamming,10,84,2.5,normal,0.33028101921081543,0.07938098907470703,0,59,1,0
Hamming,10,84,2.5,anomalous,0.33028101921081543,0.08414220809936523,0,0,0,60
Hamming,10,84,5,normal,0.31790590286254883,0.07936811447143555,0,59,1,0
Hamming,10,84,5,anomalous,0.31790590286254883,0.08198404312133789,0,0,0,60
Hamming,10,84,10,normal,0.3154759407043457,0.07734107971191406,0,53,7,0
Hamming,10,84,10,anomalous,0.3154759407043457,0.0875089168548584,3,0,0,57
Hamming,10,84,15,normal,0.3131692409515381,0.07685279846191406,0,49,11,0
Hamming,10,84,15,anomalous,0.3131692409515381,0.08353924751281738,18,0,0,42
Hamming,20,84,1,normal,0.4021432399749756,0.10099291801452637,0,59,1,0
Hamming,20,84,1,anomalous,0.4021432399749756,0.10529017448425293,0,0,0,60
Hamming,20,84,2.5,normal,0.41454291343688965,0.10039496421813965,0,59,1,0
Hamming,20,84,2.5,anomalous,0.41454291343688965,0.10552597045898438,2,0,0,58
Hamming,20,84,5,normal,0.4051239490509033,0.0997467041015625,0,56,4,0
Hamming,20,84,5,anomalous,0.4051239490509033,0.10453987121582031,8,0,0,52
Hamming,20,84,10,normal,0.4135751724243164,0.09927821159362793,0,49,11,0
Hamming,20,84,10,anomalous,0.4135751724243164,0.10668492317199707,18,0,0,42
Hamming,20,84,15,normal,0.4035336971282959,0.10063409805297852,0,49,11,0
Hamming,20,84,15,anomalous,0.4035336971282959,0.10685396194458008,18,0,0,42
Hamming,30,84,1,normal,0.5041358470916748,0.12458920478820801,0,59,1,0
Hamming,30,84,1,anomalous,0.5041358470916748,0.1309361457824707,4,0,0,56
Hamming,30,84,2.5,normal,0.49849390983581543,0.1222689151763916,0,58,2,0
Hamming,30,84,2.5,anomalous,0.49849390983581543,0.12850189208984375,6,0,0,54
Hamming,30,84,5,normal,0.508112907409668,0.12510418891906738,0,56,4,0
Hamming,30,84,5,anomalous,0.508112907409668,0.12848591804504395,8,0,0,52
Hamming,30,84,10,normal,0.49831604957580566,0.12235283851623535,0,50,10,0
Hamming,30,84,10,anomalous,0.49831604957580566,0.1305701732635498,18,0,0,42
Hamming,30,84,15,normal,0.49933910369873047,0.1236259937286377,0,49,11,0
Hamming,30,84,15,anomalous,0.49933910369873047,0.13315200805664062,25,0,0,35
Hamming,40,84,1,normal,0.6046931743621826,0.14713025093078613,0,58,2,0
Hamming,40,84,1,anomalous,0.6046931743621826,0.15444183349609375,6,0,0,54
Hamming,40,84,2.5,normal,0.6021699905395508,0.1469576358795166,0,58,2,0
