detector,n_bins,n_obs_per_period,alpha,testing_set,time_model_creation,time_model_prediction,n_tp,n_tn,n_fp,n_fn
Hamming,5,24,1,normal,0.9177892208099365,0.22928094863891602,0,210,0,0
Hamming,5,24,1,anomalous,0.9177892208099365,0.2366487979888916,0,0,0,210
Hamming,5,24,2,normal,0.8999249935150146,0.2196810245513916,0,210,0,0
Hamming,5,24,2,anomalous,0.8999249935150146,0.23313522338867188,0,0,0,210
Hamming,5,24,3,normal,0.8888840675354004,0.21736407279968262,0,210,0,0
Hamming,5,24,3,anomalous,0.8888840675354004,0.23172521591186523,0,0,0,210
Hamming,5,24,4,normal,0.8675811290740967,0.22651004791259766,0,210,0,0
Hamming,5,24,4,anomalous,0.8675811290740967,0.22381210327148438,0,0,0,210
Hamming,5,24,5,normal,0.8721692562103271,0.21796798706054688,0,210,0,0
Hamming,5,24,5,anomalous,0.8721692562103271,0.22173523902893066,0,0,0,210
Hamming,5,24,6,normal,0.8981602191925049,0.21301913261413574,0,210,0,0
Hamming,5,24,6,anomalous,0.8981602191925049,0.23290300369262695,0,0,0,210
Hamming,5,24,7,normal,0.8663389682769775,0.2270979881286621,0,210,0,0
Hamming,5,24,7,anomalous,0.8663389682769775,0.23889899253845215,0,0,0,210
Hamming,5,24,8,normal,0.8775742053985596,0.21352386474609375,0,210,0,0
Hamming,5,24,8,anomalous,0.8775742053985596,0.22546100616455078,0,0,0,210
Hamming,5,24,9,normal,0.8806750774383545,0.21540093421936035,0,210,0,0
Hamming,5,24,9,anomalous,0.8806750774383545,0.2335348129272461,0,0,0,210
Hamming,5,24,10,normal,0.8714148998260498,0.22304487228393555,0,210,0,0
Hamming,5,24,10,anomalous,0.8714148998260498,0.2294769287109375,0,0,0,210
Hamming,10,24,1,normal,1.0250229835510254,0.25469326972961426,0,210,0,0
Hamming,10,24,1,anomalous,1.0250229835510254,0.2589092254638672,0,0,0,210
Hamming,10,24,2,normal,1.0270702838897705,0.2662699222564697,0,210,0,0
Hamming,10,24,2,anomalous,1.0270702838897705,0.25851893424987793,0,0,0,210
Hamming,10,24,3,normal,1.033193826675415,0.2515430450439453,0,200,10,0
Hamming,10,24,3,anomalous,1.033193826675415,0.2699878215789795,21,0,0,189
Hamming,10,24,4,normal,1.0276820659637451,0.25470995903015137,0,200,10,0
Hamming,10,24,4,anomalous,1.0276820659637451,0.26029515266418457,21,0,0,189
Hamming,10,24,5,normal,1.030668020248413,0.2512238025665283,0,188,22,0
Hamming,10,24,5,anomalous,1.030668020248413,0.27433300018310547,21,0,0,189
Hamming,10,24,6,normal,1.2609562873840332,0.31738805770874023,0,188,22,0
Hamming,10,24,6,anomalous,1.2609562873840332,0.31322717666625977,21,0,0,189
Hamming,10,24,7,normal,1.3823399543762207,0.28082919120788574,0,188,22,0
Hamming,10,24,7,anomalous,1.3823399543762207,0.31956911087036133,21,0,0,189
Hamming,10,24,8,normal,1.2328722476959229,0.269899845123291,0,188,22,0
Hamming,10,24,8,anomalous,1.2328722476959229,0.27292895317077637,21,0,0,189
Hamming,10,24,9,normal,1.1162922382354736,0.2638709545135498,0,188,22,0
Hamming,10,24,9,anomalous,1.1162922382354736,0.26358509063720703,21,0,0,189
Hamming,10,24,10,normal,1.0393998622894287,0.25565600395202637,0,188,22,0
Hamming,10,24,10,anomalous,1.0393998622894287,0.2683393955230713,21,0,0,189
