detector,n_bins,n_obs_per_period,alpha,testing_set,time2build,time2predict,tp,tn,fp,fn
Hamming,30,336,5,normal,0.15574312210083008,0.041693925857543945,0,14,1,0
Hamming,30,336,5,anomalous,0.15574312210083008,0.05359792709350586,10,0,0,5
Cosine,30,336,5,normal,0.17254900932312012,0.045163869857788086,0,15,0,0
Cosine,30,336,5,anomalous,0.17254900932312012,0.04540300369262695,2,0,0,13
Jaccard,30,336,5,normal,0.16242289543151855,0.043501853942871094,0,10,5,0
Jaccard,30,336,5,anomalous,0.16242289543151855,0.04352927207946777,1,0,0,14
Dice,30,336,5,normal,0.1641092300415039,0.04162096977233887,0,10,5,0
Dice,30,336,5,anomalous,0.1641092300415039,0.04370307922363281,1,0,0,14
KL,30,336,5,normal,0.16363167762756348,0.04284095764160156,0,10,5,0
KL,30,336,5,anomalous,0.16363167762756348,0.0445859432220459,14,0,0,1
Jeffreys,30,336,5,normal,0.16581392288208008,0.04269123077392578,0,14,1,0
Jeffreys,30,336,5,anomalous,0.16581392288208008,0.04825711250305176,15,0,0,0
JS,30,336,5,normal,0.16434597969055176,0.04233813285827637,0,14,1,0
JS,30,336,5,anomalous,0.16434597969055176,0.043956756591796875,15,0,0,0
Euclidean,30,336,5,normal,0.1623380184173584,0.041893720626831055,0,14,1,0
Euclidean,30,336,5,anomalous,0.1623380184173584,0.043965816497802734,15,0,0,0
Cityblock,30,336,5,normal,0.1620781421661377,0.041407108306884766,0,14,1,0
Cityblock,30,336,5,anomalous,0.1620781421661377,0.04336714744567871,15,0,0,0
Chebyshev,30,336,5,normal,0.16456818580627441,0.048779964447021484,0,14,1,0
Chebyshev,30,336,5,anomalous,0.16456818580627441,0.05349612236022949,6,0,0,9
Minkowski,30,336,5,normal,0.16362476348876953,0.041773080825805664,0,14,1,0
Minkowski,30,336,5,anomalous,0.16362476348876953,0.04680991172790527,12,0,0,3
Braycurtis,30,336,5,normal,0.16105294227600098,0.04123067855834961,0,14,1,0
Braycurtis,30,336,5,anomalous,0.16105294227600098,0.04312705993652344,15,0,0,0
Gower,30,336,5,normal,0.1621859073638916,0.041211843490600586,0,14,1,0
Gower,30,336,5,anomalous,0.1621859073638916,0.04340219497680664,15,0,0,0
Soergel,30,336,5,normal,0.1655128002166748,0.041484832763671875,0,14,1,0
Soergel,30,336,5,anomalous,0.1655128002166748,0.04269599914550781,15,0,0,0
Kulczynski,30,336,5,normal,0.16546297073364258,0.04162311553955078,0,14,1,0
Kulczynski,30,336,5,anomalous,0.16546297073364258,0.04337501525878906,15,0,0,0
Canberra,30,336,5,normal,0.16807293891906738,0.04184079170227051,0,14,1,0
Canberra,30,336,5,anomalous,0.16807293891906738,0.04351305961608887,15,0,0,0
Lorentzian,30,336,5,normal,0.16164612770080566,0.04142189025878906,0,13,2,0
Lorentzian,30,336,5,anomalous,0.16164612770080566,0.04416203498840332,0,0,0,15
Bhattacharyya,30,336,5,normal,0.15990519523620605,0.04098916053771973,0,14,1,0
Bhattacharyya,30,336,5,anomalous,0.15990519523620605,0.04339194297790527,15,0,0,0
Hellinger,30,336,5,normal,0.15910577774047852,0.04115414619445801,0,14,1,0
Hellinger,30,336,5,anomalous,0.15910577774047852,0.04349803924560547,15,0,0,0
Matusita,30,336,5,normal,0.1595919132232666,0.041020870208740234,0,14,1,0
Matusita,30,336,5,anomalous,0.1595919132232666,0.044708251953125,15,0,0,0
Squaredchord,30,336,5,normal,0.15763592720031738,0.04131507873535156,0,14,1,0
Squaredchord,30,336,5,anomalous,0.15763592720031738,0.043154001235961914,15,0,0,0
Pearson,30,336,5,normal,0.15706682205200195,0.0410768985748291,0,10,5,0
Pearson,30,336,5,anomalous,0.15706682205200195,0.04493212699890137,5,0,0,10
Neyman,30,336,5,normal,0.15847396850585938,0.04161787033081055,0,14,1,0
Neyman,30,336,5,anomalous,0.15847396850585938,0.04408407211303711,14,0,0,1
Squared,30,336,5,normal,0.15790581703186035,0.041957855224609375,0,14,1,0
Squared,30,336,5,anomalous,0.15790581703186035,0.04508709907531738,15,0,0,0
Probsymmetric,30,336,5,normal,0.16579508781433105,0.04236888885498047,0,14,1,0
Probsymmetric,30,336,5,anomalous,0.16579508781433105,0.043489933013916016,15,0,0,0
Divergence,30,336,5,normal,0.16098403930664062,0.04245305061340332,0,15,0,0
Divergence,30,336,5,anomalous,0.16098403930664062,0.0435028076171875,15,0,0,0
Clark,30,336,5,normal,0.1627650260925293,0.04199409484863281,0,15,0,0
Clark,30,336,5,anomalous,0.1627650260925293,0.043350934982299805,15,0,0,0
Additivesymmetric,30,336,5,normal,0.15949797630310059,0.04223012924194336,0,15,0,0
Additivesymmetric,30,336,5,anomalous,0.15949797630310059,0.04402875900268555,2,0,0,13
