detector,scenario,time_model_creation,time_model_prediction,n_tp,n_tn,n_fp,n_fn
Hamming,normal,0.15584325790405273,0.0418858528137207,0,14,1,0
Hamming,anomalous,0.15584325790405273,0.05025887489318848,10,0,0,5
Cosine,normal,0.17428803443908691,0.04506874084472656,0,15,0,0
Cosine,anomalous,0.17428803443908691,0.04417920112609863,2,0,0,13
Jaccard,normal,0.17316102981567383,0.042717933654785156,0,10,5,0
Jaccard,anomalous,0.17316102981567383,0.04256939888000488,1,0,0,14
Dice,normal,0.1668379306793213,0.04502296447753906,0,10,5,0
Dice,anomalous,0.1668379306793213,0.04724311828613281,1,0,0,14
KL,normal,0.1724870204925537,0.044972896575927734,0,10,5,0
KL,anomalous,0.1724870204925537,0.046425819396972656,14,0,0,1
Jeffreys,normal,0.1707608699798584,0.04566383361816406,0,14,1,0
Jeffreys,anomalous,0.1707608699798584,0.045661211013793945,15,0,0,0
JS,normal,0.17502188682556152,0.044973134994506836,0,14,1,0
JS,anomalous,0.17502188682556152,0.04815983772277832,15,0,0,0
Euclidean,normal,0.16506314277648926,0.04387307167053223,0,14,1,0
Euclidean,anomalous,0.16506314277648926,0.046875953674316406,15,0,0,0
Cityblock,normal,0.21448516845703125,0.045146942138671875,0,14,1,0
Cityblock,anomalous,0.21448516845703125,0.047193050384521484,15,0,0,0
Chebyshev,normal,0.1766800880432129,0.046128034591674805,0,14,1,0
Chebyshev,anomalous,0.1766800880432129,0.04717206954956055,6,0,0,9
Minkowski,normal,0.1717510223388672,0.045191287994384766,0,14,1,0
Minkowski,anomalous,0.1717510223388672,0.04604530334472656,12,0,0,3
Braycurtis,normal,0.16717290878295898,0.044100046157836914,0,14,1,0
Braycurtis,anomalous,0.16717290878295898,0.046797990798950195,15,0,0,0
Gower,normal,0.16436290740966797,0.04346823692321777,0,14,1,0
Gower,anomalous,0.16436290740966797,0.04845905303955078,15,0,0,0
Soergel,normal,0.15890097618103027,0.04119133949279785,0,14,1,0
Soergel,anomalous,0.15890097618103027,0.04372286796569824,15,0,0,0
Kulczynski,normal,0.16031837463378906,0.04347586631774902,0,14,1,0
Kulczynski,anomalous,0.16031837463378906,0.044219017028808594,15,0,0,0
Canberra,normal,0.18490982055664062,0.04265189170837402,0,14,1,0
Canberra,anomalous,0.18490982055664062,0.04445910453796387,15,0,0,0
Lorentzian,normal,0.1671898365020752,0.04380321502685547,0,13,2,0
Lorentzian,anomalous,0.1671898365020752,0.044654130935668945,0,0,0,15
Bhattacharyya,normal,0.16851282119750977,0.04312896728515625,0,14,1,0
Bhattacharyya,anomalous,0.16851282119750977,0.044554948806762695,15,0,0,0
Hellinger,normal,0.1647500991821289,0.04438614845275879,0,14,1,0
Hellinger,anomalous,0.1647500991821289,0.04449319839477539,15,0,0,0
Matusita,normal,0.16970109939575195,0.04354095458984375,0,14,1,0
Matusita,anomalous,0.16970109939575195,0.04484677314758301,15,0,0,0
Squaredchord,normal,0.1667771339416504,0.04434084892272949,0,14,1,0
Squaredchord,anomalous,0.1667771339416504,0.04601788520812988,15,0,0,0
Pearson,normal,0.16877007484436035,0.0445551872253418,0,10,5,0
Pearson,anomalous,0.16877007484436035,0.0454251766204834,5,0,0,10
Neyman,normal,0.16731786727905273,0.04485607147216797,0,14,1,0
Neyman,anomalous,0.16731786727905273,0.04514288902282715,14,0,0,1
Squared,normal,0.16972017288208008,0.04317903518676758,0,14,1,0
Squared,anomalous,0.16972017288208008,0.04538273811340332,15,0,0,0
Probsymmetric,normal,0.1683638095855713,0.041671037673950195,0,14,1,0
Probsymmetric,anomalous,0.1683638095855713,0.04343104362487793,15,0,0,0
Divergence,normal,0.16656088829040527,0.05205035209655762,0,15,0,0
Divergence,anomalous,0.16656088829040527,0.05119800567626953,15,0,0,0
Clark,normal,0.16254091262817383,0.04382181167602539,0,15,0,0
Clark,anomalous,0.16254091262817383,0.07785606384277344,15,0,0,0
Additivesymmetric,normal,0.16288089752197266,0.04285073280334473,0,15,0,0
Additivesymmetric,anomalous,0.16288089752197266,0.04304194450378418,2,0,0,13
