detector,scenario,time_model_creation,time_model_prediction,n_tp,n_tn,n_fp,n_fn
Hamming,Normal,0.1704998016357422,0.04638481140136719,0,14,1,0
Hamming,Anomalous,0.1704998016357422,0.054526329040527344,10,0,0,5
Cosine,Normal,0.19239306449890137,0.04693913459777832,0,15,0,0
Cosine,Anomalous,0.19239306449890137,0.0502626895904541,2,0,0,13
Jaccard,Normal,0.20125317573547363,0.05448007583618164,0,10,5,0
Jaccard,Anomalous,0.20125317573547363,0.0553133487701416,1,0,0,14
Dice,Normal,0.176314115524292,0.04716634750366211,0,10,5,0
Dice,Anomalous,0.176314115524292,0.04673290252685547,1,0,0,14
KL,Normal,0.18645286560058594,0.04608511924743652,0,10,5,0
KL,Anomalous,0.18645286560058594,0.04890799522399902,14,0,0,1
Jeffreys,Normal,0.17975091934204102,0.04651594161987305,0,14,1,0
Jeffreys,Anomalous,0.17975091934204102,0.05202603340148926,15,0,0,0
JS,Normal,0.18187904357910156,0.04629206657409668,0,14,1,0
JS,Anomalous,0.18187904357910156,0.049304962158203125,15,0,0,0
Euclidean,Normal,0.18414592742919922,0.05140089988708496,0,14,1,0
Euclidean,Anomalous,0.18414592742919922,0.05319714546203613,15,0,0,0
Cityblock,Normal,0.18143200874328613,0.05066800117492676,0,14,1,0
Cityblock,Anomalous,0.18143200874328613,0.047212839126586914,15,0,0,0
Chebyshev,Normal,0.18253374099731445,0.047479867935180664,0,14,1,0
Chebyshev,Anomalous,0.18253374099731445,0.050302982330322266,6,0,0,9
Minkowski,Normal,0.20245599746704102,0.05628085136413574,0,14,1,0
Minkowski,Anomalous,0.20245599746704102,0.0594332218170166,12,0,0,3
Braycurtis,Normal,0.19987988471984863,0.05564403533935547,0,14,1,0
Braycurtis,Anomalous,0.19987988471984863,0.05644965171813965,15,0,0,0
Gower,Normal,0.18900680541992188,0.04568004608154297,0,14,1,0
Gower,Anomalous,0.18900680541992188,0.0477902889251709,15,0,0,0
Soergel,Normal,0.17352008819580078,0.047167062759399414,0,14,1,0
Soergel,Anomalous,0.17352008819580078,0.04879307746887207,15,0,0,0
Kulczynski,Normal,0.1799602508544922,0.04512786865234375,0,14,1,0
Kulczynski,Anomalous,0.1799602508544922,0.05480694770812988,15,0,0,0
Canberra,Normal,0.18156194686889648,0.04688286781311035,0,14,1,0
Canberra,Anomalous,0.18156194686889648,0.051634788513183594,15,0,0,0
Lorentzian,Normal,0.17676711082458496,0.04823899269104004,0,13,2,0
Lorentzian,Anomalous,0.17676711082458496,0.048417091369628906,0,0,0,15
Bhattacharyya,Normal,0.17576098442077637,0.04801201820373535,0,14,1,0
Bhattacharyya,Anomalous,0.17576098442077637,0.048909902572631836,15,0,0,0
Hellinger,Normal,0.1736001968383789,0.04594898223876953,0,14,1,0
Hellinger,Anomalous,0.1736001968383789,0.05269312858581543,15,0,0,0
Matusita,Normal,0.18123888969421387,0.048230886459350586,0,14,1,0
Matusita,Anomalous,0.18123888969421387,0.0496981143951416,15,0,0,0
Squaredchord,Normal,0.18552088737487793,0.0515599250793457,0,14,1,0
Squaredchord,Anomalous,0.18552088737487793,0.05235624313354492,15,0,0,0
Pearson,Normal,0.18011021614074707,0.04614400863647461,0,10,5,0
Pearson,Anomalous,0.18011021614074707,0.04890799522399902,5,0,0,10
Neyman,Normal,0.1741807460784912,0.04665017127990723,0,14,1,0
Neyman,Anomalous,0.1741807460784912,0.05142927169799805,14,0,0,1
Squared,Normal,0.17644619941711426,0.055864810943603516,0,14,1,0
Squared,Anomalous,0.17644619941711426,0.056307315826416016,15,0,0,0
Probsymmetric,Normal,0.20237517356872559,0.054761409759521484,0,14,1,0
Probsymmetric,Anomalous,0.20237517356872559,0.05648207664489746,15,0,0,0
Divergence,Normal,0.2003929615020752,0.053086042404174805,0,15,0,0
Divergence,Anomalous,0.2003929615020752,0.05440831184387207,15,0,0,0
Clark,Normal,0.17885303497314453,0.04632306098937988,0,15,0,0
Clark,Anomalous,0.17885303497314453,0.047064781188964844,15,0,0,0
Additivesymmetric,Normal,0.1773698329925537,0.049054861068725586,0,15,0,0
Additivesymmetric,Anomalous,0.1773698329925537,0.05102896690368652,2,0,0,13
